*Vertices 100
1 "927"
2 "953"
3 "984"
4 "993"
5 "903"
6 "901"
7 "979"
8 "908"
9 "988"
10 "986"
11 "965"
12 "926"
13 "912"
14 "994"
15 "928"
16 "983"
17 "904"
18 "954"
19 "972"
20 "902"
21 "991"
22 "949"
23 "981"
24 "907"
25 "973"
26 "977"
27 "964"
28 "989"
29 "918"
30 "999"
31 "920"
32 "938"
33 "957"
34 "909"
35 "970"
36 "916"
37 "955"
38 "992"
39 "914"
40 "923"
41 "956"
42 "937"
43 "915"
44 "930"
45 "974"
46 "925"
47 "958"
48 "966"
49 "944"
50 "959"
51 "921"
52 "960"
53 "924"
54 "945"
55 "967"
56 "939"
57 "917"
58 "931"
59 "947"
60 "929"
61 "995"
62 "990"
63 "911"
64 "943"
65 "913"
66 "996"
67 "919"
68 "922"
69 "906"
70 "978"
71 "950"
72 "961"
73 "942"
74 "982"
75 "951"
76 "1000"
77 "987"
78 "980"
79 "935"
80 "932"
81 "940"
82 "968"
83 "963"
84 "976"
85 "997"
86 "985"
87 "952"
88 "941"
89 "948"
90 "933"
91 "975"
92 "962"
93 "905"
94 "936"
95 "971"
96 "998"
97 "934"
98 "946"
99 "910"
100 "969"
*Edges
22 51 584.0
81 87 1044.0
58 100 1497.0
29 36 637.0
51 87 203.0
3 96 1280.0
41 61 979.0
77 66 836.0
98 20 4907.0
58 39 3769.0
25 67 2594.0
71 10 1368.0
40 76 3474.0
73 74 4889.0
90 35 3857.0
76 14 4501.0
55 4 2256.0
52 22 542.0
33 21 3293.0
49 43 2376.0
93 97 4464.0
58 32 199.0
32 85 2330.0
19 69 4288.0
82 92 1364.0
23 2 4605.0
16 98 2012.0
31 46 2637.0
5 17 3603.0
74 84 2918.0
43 17 1038.0
30 49 1032.0
66 56 689.0
34 75 242.0
4 35 3390.0
7 5 3060.0
69 48 665.0
61 47 4408.0
81 66 2754.0
80 91 1094.0
97 49 798.0
32 18 1361.0
53 65 3445.0
71 1 1738.0
58 98 3511.0
72 89 69.0
29 71 982.0
62 76 4693.0
17 4 956.0
59 94 3089.0
72 65 4500.0
76 59 4356.0
83 27 2099.0
18 54 630.0
12 4 3018.0
38 42 1246.0
77 61 1290.0
61 54 3272.0
29 2 691.0
73 10 2829.0
77 22 213.0
58 21 807.0
37 75 1549.0
9 79 3190.0
47 15 4133.0
28 83 3363.0
3 44 399.0
22 17 2223.0
74 61 3434.0
96 87 4287.0
30 43 1701.0
94 74 2818.0
72 4 4811.0
90 87 1708.0
99 76 1614.0
13 71 851.0
47 42 3978.0
52 33 3029.0
26 35 1659.0
61 100 1927.0
71 8 1602.0
92 53 2102.0
56 82 2851.0
77 95 795.0
9 51 1921.0
92 6 1064.0
37 7 3562.0
83 7 871.0
53 24 4928.0
34 54 2759.0
79 5 4681.0
96 78 3349.0
92 86 271.0
75 98 2085.0
56 81 3543.0
18 68 1974.0
2 49 673.0
76 37 253.0
20 25 2066.0
3 74 4178.0
89 54 4247.0
76 70 1985.0
84 85 312.0
84 39 1672.0
87 3 1451.0
40 9 1423.0
40 80 4163.0
6 59 1750.0
82 6 2055.0
97 72 2004.0
61 90 602.0
98 1 2147.0
21 17 4811.0
98 83 332.0
27 65 376.0
47 93 333.0
44 99 930.0
67 2 752.0
16 68 4786.0
66 57 3593.0
30 71 4164.0
5 11 3861.0
56 57 2623.0
18 63 4402.0
16 50 4134.0
6 94 3849.0
23 93 2770.0
48 100 1691.0
87 32 4898.0
7 55 3618.0
17 99 1262.0
92 11 2770.0
20 53 894.0
19 66 1017.0
28 64 214.0
88 49 2900.0
7 12 2273.0
2 71 2160.0
42 93 4114.0
71 93 3796.0
85 76 2085.0
23 49 1588.0
15 94 1005.0
76 68 4206.0
41 19 3190.0
46 21 1743.0
32 24 61.0
42 10 4727.0
55 18 2356.0
91 51 654.0
